JD ID for Subcribing Institution,625,,,,,,,,,,
SO Identifier,wiley_full collection_2012-2014_nesli2,,,,,,,,,,
Subscription Term Start Year,2012,,,,,,,,,,
Subscription Term End Year,2014,,,,,,,,,,
included_st, publication_title,print_identifier,online_identifier,date_first_issue_subscribed,num_first_vol_subscribed,num_first_issue_subscribed,date_last_issue_subscribed,num_last_vol_subscribed,num_last_issue_subscribed,embargo_info,core_title
,CONFLICT RESOLUTION QUARTERLY,1536-5581,1541-1508,1997,,,,,,,
,CONGENITAL ANOMALIES,0914-3505,1741-4520,1997,37,,,,,,
,CONSERVATION,1936-2145,1936-6779,2000,8,,,,,,
,CONSERVATION BIOLOGY,0888-8892,1523-1739,1997,11,,,,,,
,CONSTELLATIONS: AN INTERNATIONAL JOURNAL OF CRITICAL AND DEMOCRATIC THEORY,1351-0487,1467-8675,1997,4,,,,,,
,CONTACT DERMATITIS,0105-1873,1600-0536,1997,36,,,,,,
,CONTEMPORARY ACCOUNTING RESEARCH,0823-9150,1911-3846,1997,14,,,,,,
,CONTEMPORARY ECONOMIC POLICY,1074-3529,1465-7287,1997,15,,,,,,
,CONTRAST MEDIA & MOLECULAR IMAGING  (ELECTRONIC),1555-4309,1555-4317,2006,1,,,,,,
,CONTRIBUTIONS TO PLASMA PHYSICS,0863-1042,1521-3986,2000,40,,,,,,
,CORPORATE GOVERNANCE,0964-8410,1467-8683,1997,5,,,,,,
,CORPORATE PHILANTHROPY REPORT,0885-8365,1949-3207,2009,24,,,,,,
,CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT,1535-3958,1535-3966,2002,9,,,,,,
,COUNSELING AND VALUES,0160-7960,2161-007X,,,,,,,,
,COUNSELOR EDUCATION AND SUPERVISION,0011-0035,1556-6978,,,,,,,,
,CREATIVITY AND INNOVATION MANAGEMENT,0963-1690,1467-8691,1997,6,,,,,,
,CRIMINAL BEHAVIOUR AND MENTAL HEALTH,0957-9664,1471-2857,1997,,,,,,,
,CRIMINOLOGY,0011-1384,1745-9125,1997,35,,,,,,Y
,CRIMINOLOGY AND PUBLIC POLICY,1538-6473,1745-9133,2001,1,,,,,,Y
,CRITICAL QUARTERLY,0011-1562,1467-8705,1997,39,,,,,,Y
,CROSSCURRENTS,0011-1953,1939-3881,2008,58,,,,,,
,CRYSTAL RESEARCH AND TECHNOLOGY,0232-1300,1521-4079,1998,33,,,,,,
,CULTURAL ANTHROPOLOGY,0886-7356,1548-1360,1997,1,,,,,,
,"CULTURE, AGRICULTURE, FOOD & ENVIRONMENT",2153-9553,2153-9561,1997,19,,,,,,
,CURATOR THE MUSEUM JOURNAL,0011-3069,2151-6952,1997,40,,,,,,
,CURRICULUM INQUIRY,0362-6784,1467-873X,1997,27,,,,,,
,CURTIS'S BOTANICAL MAGAZINE,1355-4905,1467-8748,1997,14,,,,,,
,CYTOMETRY,1552-4922,1552-4930,1997,27,,,,,,
,CYTOPATHOLOGY,0956-5507,1365-2303,1997,8,,,,,,
,CYTOSKELETON,1949-3584,1949-3592,1997,,,,,,,
,DEAN & PROVOST,1527-6562,1943-7587,2008,9,,,,,,
,DECISION SCIENCES,0011-7315,1540-5915,1997,28,,,,,,Y
,DECISION SCIENCES JOURNAL OF INNOVATIVE EDUCATION,1540-4595,1540-4609,2003,1,,,,,,Y
,DENTAL TRAUMATOLOGY,1600-4469,1600-9657,1997,13,,,,,,
,DEPARTMENT CHAIR,1049-3255,1936-4393,2007,18,,,,,,
,DEPRESSION AND ANXIETY,1091-4269,1520-6394,1997,,,,,,,
,DERMATOLOGIC SURGERY,1076-0512,1524-4725,1997,23,,,,,,
,DERMATOLOGIC THERAPY,1396-0296,1529-8019,2000,13,,,,,,
,DESIGN MANAGEMENT JOURNAL,1942-5074,1948-7177,2010,2,,,,,,
,DESIGN MANAGEMENT REVIEW,1557-0614,1948-7169,1997,8,,,,,,Y
,DEVELOPING WORLD BIOETHICS,1471-8731,1471-8847,2001,1,,,,,,Y
,DEVELOPMENT AND CHANGE,0012-155X,1467-7660,1997,28,,,,,,
,DEVELOPMENT GROWTH & DIFFERENTIATION,0012-1592,1440-169X,1997,39,,,,,,
,DEVELOPMENT POLICY REVIEW,0950-6764,1467-7679,1997,15,,,,,,
,DEVELOPMENTAL DISABILITIES RESEARCH REVIEW,1940-5510,1940-5529,1997,,,,,,,
,DEVELOPMENTAL DYNAMICS,1058-8388,1097-0177,1997,,,,,,,
,DEVELOPMENTAL MEDICINE & CHILD NEUROLOGY,0012-1622,1469-8749,1997,39,,,,,,Y
,DEVELOPMENTAL NEUROBIOLOGY,1932-8451,1932-846X,1997,,,,,,,
,DEVELOPMENTAL PSYCHOBIOLOGY,0012-1630,1098-2302,1997,,,,,,,
,DEVELOPMENTAL SCIENCE,1363-755X,1467-7687,1998,1,,,,,,
,DIABETES OBESITY & METABOLISM,1462-8902,1463-1326,1999,1,,,,,,
,DIABETES/METABOLISM: RESEARCH AND REVIEWS (ELECT),1520-7552,1520-7560,1999,15,,,,,,
,DIABETIC MEDICINE,0742-3071,1464-5491,1997,14,,,,,,Y
,DIAGNOSTIC CYTOPATHOLOGY,8755-1039,1097-0339,1997,,,,,,,
,DIALECTICA,0012-2017,1746-8361,1997,51,,,,,,
,DIALOG,0012-2033,1540-6385,2000,39,,,,,,
,DIE UNTERRICHTSPRAXIS/TEACHING GERMAN,0042-062X,1756-1221,2004,37,,,,,,
,DIGEST OF MIDDLE EAST STUDIES,1060-4367,1949-3606,1997,6,,,,,,
,DIGESTIVE ENDOSCOPY,0915-5635,1443-1661,1997,9,,,,,,
,DIPLOMATIC HISTORY,0145-2096,1467-7709,1997,21,,,,,,Y
,DISABILITY COMPLIANCE FOR HIGHER EDUCATION,1086-1335,1943-8001,2008,13,,,,,,
,DISASTERS,0361-3666,1467-7717,1997,21,,,,,,
,DISEASES OF THE ESOPHAGUS,1120-8694,1442-2050,1999,12,,,,,,
,DIVERSITY AND DISTRIBUTIONS,1366-9516,1472-4642,1998,4,,,,,,
,DRUG AND ALCOHOL REVIEW,0959-5236,1465-3362,1997,16,,,,,,
,DRUG DEVELOPMENT RESEARCH,0272-4391,1098-2299,1997,,,,,,,
,DYSLEXIA,1076-9242,1099-0909,1997,,,,,,,
,EARLY INTERVENTION IN PSYCHIATRY,1751-7885,1751-7893,2007,1,,,,,,
,EARLY MEDIEVAL EUROPE,0963-9462,1468-0254,1997,6,,,,,,
,EARTH SURFACE PROCESSES AND LANDFORMS,0197-9337,1096-9837,1997,,,,,,,Y
,EARTHQUAKE ENGINEERING AND STRUCTURAL DYNAMICS,0098-8847,1096-9845,1997,,,,,,,
,ECHOCARDIOGRAPHY,0742-2822,1540-8175,1997,14,,,,,,
,ECOGRAPHY,0906-7590,1600-0587,1997,20,,,,,,
,ECOLOGICAL ENTOMOLOGY,0307-6946,1365-2311,1997,22,,,,,,
,ECOLOGICAL MANAGEMENT & RESTORATION,1442-7001,1442-8903,2000,1,,,,,,
,ECOLOGY LETTERS,1461-023X,1461-0248,1998,1,,,,,,
,ECOLOGY OF FRESHWATER FISH,0906-6691,1600-0633,1997,6,,,,,,
,ECONOMIC AFFAIRS,0265-0665,1468-0270,1997,17,,,,,,Y
,ECONOMIC GEOGRAPHY,0013-0095,1944-8287,1997,73,,,,,,
,ECONOMIC HISTORY REVIEW,0013-0117,1468-0289,1997,50,,,,,,Y
,ECONOMIC INQUIRY,0095-2583,1465-7295,1997,35,,,,,,Y
,ECONOMIC NOTES,0391-5026,1468-0300,1999,28,,,,,,
,ECONOMIC OUTLOOK,0140-489X,1468-0319,1997,21,,,,,,
,ECONOMIC PAPERS: A JOURNAL OF APPLIED ECONOMICS AND POLICY,0812-0439,1759-3441,1997,16,,,,,,Y
,ECONOMIC POLICY,0266-4658,1468-0327,1997,12,,,,,,Y
,ECONOMICA,0013-0427,1468-0335,1997,64,,,,,,Y
,ECONOMICS & POLITICS,0954-1985,1468-0343,1997,9,,,,,,
,EDUCATIONAL MEASUREMENT: ISSUES AND PRACTICE,0731-1745,1745-3992,1997,16,,,,,,
,EDUCATIONAL PHILOSOPHY AND THEORY,0013-1857,1469-5812,1997,29,,,,,,
,EDUCATIONAL THEORY,0013-2004,1741-5446,1997,47,,,,,,
,ELECTRICAL ENGINEERING IN JAPAN,0424-7760,1520-6416,1997,118,,,,,,
,ELECTROANALYSIS,1040-0397,1521-4109,1998,10,,,,,,
,ELECTRONICS & COMMUNICATIONS IN JAPAN,1942-9533,1942-9541,1997,80,,,,,,
,ELECTROPHORESIS,0173-0835,1522-2683,1999,20,,,,,,
,EMERGENCY MEDICINE AUSTRALASIA,1742-6731,1742-6723,1997,9,,,,,,
,EMPLOYMENT RELATIONS TODAY,0745-7790,1520-6459,2001,28,,,,,,
,ENDODONTIC TOPICS,1601-1538,1601-1546,2002,1,,,,,,
,ENGINEERING IN LIFE SCIENCES  (ELECTRONIC),1618-0240,1618-2863,2001,1,,,,,,
,ENGLISH IN EDUCATION,0425-0494,1754-8845,1997,31,,,,,,
,ENGLISH LITERARY RENAISSANCE,0013-8312,1475-6757,1997,27,,,,,,
,ENROLLMENT MANAGEMENT REPORT,1094-3757,1945-6263,2008,11,,,,,,
,ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA,0013-8703,1570-7458,1997,82,,,,,,
,ENTOMOLOGICAL RESEARCH,1738-2297,1748-5967,2002,32,,,,,,
,ENTOMOLOGICAL SCIENCE,1343-8786,1479-8298,2003,6,,,,,,
,ENTREPRENEURSHIP THEORY AND PRACTICE,1042-2587,1540-6520,2002,27,,,,,,
,ENVIRONMENTAL AND MOLECULAR MUTAGENESIS,0893-6692,1098-2280,1997,,,,,,,
,ENVIRONMENTAL MICROBIOLOGY,1462-2912,1462-2920,1999,1,,,,,,
,ENVIRONMENTAL MICROBIOLOGY REPORTS,-,1758-2229,2009,1,,,,,,
,ENVIRONMENTAL POLICY AND GOVERNANCE,1756-932X,1756-9338,1997,,,,,,,
,ENVIRONMENTAL PROGRESS & SUSTAINABLE ENERGY,1944-7442,1944-7450,2000,19,,,,,,
,ENVIRONMENTAL QUALITY MANAGEMENT,1088-1913,1520-6483,2000,10,,,,,,
,ENVIRONMENTAL TOXICOLOGY,1520-4081,1522-7278,1997,,,,,,,
,ENVIRONMENTAL TOXICOLOGY & CHEMISTRY,0730-7268,1552-8618,1997,16,,,,,,
,ENVIRONMETRICS,1180-4009,1099-095X,1997,,,,,,,
,EPILEPSIA,0013-9580,1528-1167,1997,38,,,,,,
,EPPO BULLETIN,0250-8052,1365-2338,1997,27,,,,,,
,EQUINE VETERINARY EDUCATION,0957-7734,2042-3292,1997,9,,,,,,
,EQUINE VETERINARY JOURNAL,0425-1644,2042-3306,1997,29,,,,,,
,ETHOLOGY,0179-1613,1439-0310,1997,103,,,,,,
,ETHOS,0091-2131,1548-1352,1997,25,,,,,,
,EUROCHOICES,1478-0917,1746-692X,2001,1,,,,,,
,EUROPEAN DIABETES NURSING,1551-7853,1551-7861,2004,1,,,,,,
,EUROPEAN EATING DISORDERS REVIEW,1072-4133,1099-0968,1997,,,,,,,Y
,EUROPEAN FINANCIAL MANAGEMENT,1354-7798,1468-036X,1997,3,,,,,,
,EUROPEAN JOURNAL OF CANCER CARE,0961-5423,1365-2354,1997,6,,,,,,Y
,EUROPEAN JOURNAL OF CLINICAL INVESTIGATION,0014-2972,1365-2362,1997,28,,,,,,
,EUROPEAN JOURNAL OF DENTAL EDUCATION,1396-5883,1600-0579,2000,4,,,,,,
,EUROPEAN JOURNAL OF EDUCATION,0141-8211,1465-3435,2000,35,,,,,,
,EUROPEAN JOURNAL OF HAEMATOLOGY,0902-4441,1600-0609,1997,28,,,,,,
,EUROPEAN JOURNAL OF IMMUNOLOGY,0014-2980,1521-4141,1998,28,,,,,,
,EUROPEAN JOURNAL OF INORGANIC CHEMISTRY,1434-1948,1099-0682,1998,131,,,,,,
,EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY,1438-7697,1438-9312,1998,100,,,,,,
,EUROPEAN JOURNAL OF NEUROLOGY,1351-5101,1468-1331,1998,5,,,,,,
,EUROPEAN JOURNAL OF NEUROSCIENCE,0953-816X,1460-9568,1997,9,,,,,,
,EUROPEAN JOURNAL OF ORAL SCIENCES,0909-8836,1600-0722,1997,105,,,,,,
,EUROPEAN JOURNAL OF ORGANIC CHEMISTRY,1434-193X,1099-0690,1998,1998,,,,,,
,EUROPEAN JOURNAL OF PERSONALITY,0890-2070,1099-0984,1997,,,,,,,
,EUROPEAN JOURNAL OF PHILOSOPHY,0966-8373,1468-0378,1997,5,,,,,,
,EUROPEAN JOURNAL OF POLITICAL RESEARCH,0304-4130,1475-6765,1997,31,,,,,,Y
,EUROPEAN JOURNAL OF POLITICAL RESEARCH POLITICAL DATA YEARBOOK,2047-8844,2047-8852,2006,,,,,,,
,EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY,0046-2772,1099-0992,1997,,,,,,,
,EUROPEAN JOURNAL OF SOIL SCIENCE,1351-0754,1365-2389,1997,48,,,,,,
,EUROPEAN LAW JOURNAL,1351-5993,1468-0386,1997,3,,,,,,
,EUROPEAN MANAGEMENT REVIEW,1740-4754,1740-4762,2004,1,,,,,,
,EUROPEAN TRANSACTIONS ON ELECTRICAL POWER (ELECTRONIC),1430-144X,1546-3109,2004,14,,,,,,
,EVIDENCE-BASED CHILD HEALTH: A COCHRANE  REVIEW JOURNAL,-,1557-6272,2006,1,,,,,,
,EVOLUTION,0014-3820,1558-5646,2000,54,,,,,,
,EVOLUTION AND DEVELOPMENT,1520-541X,1525-142X,1999,1,,,,,,
,EVOLUTIONARY ANTHROPOLOGY,1551-2371,1520-6505,1997,,,,,,,
,EXPERIMENTAL DERMATOLOGY,0906-6705,1600-0625,1997,6,,,,,,
,EXPERIMENTAL PHYSIOLOGY,0958-0670,1469-445X,1999,84,,,,,,
,EXPERIMENTAL TECHNIQUES,0732-8818,1747-1567,1997,21,,,,,,
,EXPERT SYSTEMS,0266-4720,1468-0394,1997,14,,,,,,
,FAMILY & CONSUMER SCIENCES RESEARCH JOURNAL,1077-727X,1552-3934,1997,14,,,,,,
,FAMILY COURT REVIEW,1531-2445,1744-1617,1997,35,,,,,,
,FAMILY PROCESS,0014-7370,1545-5300,1997,36,,,,,,
,FAMILY RELATIONS,0197-6664,1741-3729,2000,49,,,,,,
,FATIGUE & FRACTURE OF ENGINEERING MATERIALS AND STRUCTURES,8756-758X,1460-2695,1997,20,,,,,,
,FEBS JOURNAL,1742-464X,1742-4658,1997,272,,,,,,
,FEDDES REPERTORIUM,0014-8962,1522-239X,2002,113,,,,,,
,FEDERAL GRANTS & CONTRACTS,1949-3177,1949-3185,2009,33,,,,,,
,FEMS IMMUNOLOGY & MEDICAL MICROBIOLOGY,0928-8244,1574-695X,1997,17,,,,,,
,FEMS MICROBIOLOGY ECOLOGY,0168-6496,1574-6941,1997,22,,,,,,
,FEMS MICROBIOLOGY LETTERS,0378-1097,1574-6968,1997,147,,,,,,
,FEMS MICROBIOLOGY REVIEWS,0168-6445,1574-6976,1997,20,,,,,,
,FEMS YEAST RESEARCH,1567-1356,1567-1364,2001,1,,,,,,
,FINANCIAL ACCOUNTABILITY & MANAGEMENT,0267-4424,1468-0408,1997,13,,,,,,
,FINANCIAL MANAGEMENT,0046-3892,1755-053X,2005,34,,,,,,Y
,"FINANCIAL MARKETS, INSTITUTIONS & INSTRUMENTS",0963-8008,1468-0416,1997,6,,,,,,
,FINANCIAL REVIEW,0732-8516,1540-6288,1997,32,,,,,,
,FIRE AND MATERIALS,0308-0501,1099-1018,1997,,,,,,,
,FISCAL STUDIES,0143-5671,1475-5890,1997,18,,,,,,Y
,FISH AND FISHERIES,1467-2960,1467-2979,2000,1,,,,,,
,FISHERIES MANAGEMENT & ECOLOGY,0969-997X,1365-2400,1997,4,,,,,,
,FISHERIES OCEANOGRAPHY,1054-6006,1365-2419,1997,6,,,,,,
,FLAVOUR AND FRAGRANCE JOURNAL,0882-5734,1099-1026,1997,,,,,,,
,FOCUS ON ALTERNATIVE AND COMPLEMENTARY THERAPIES AN EVIDENCE-BASED APPROACH,1465-3753,2042-7166,2008,13,,,,,,Y
,FOCUS ON GEOGRAPHY,1549-4934,1949-8535,2010,51,,,,,,
,FOREIGN LANGUAGE ANNALS,0015-718X,1944-9720,1997,30,,,,,,
,FOREIGN POLICY ANALYSIS,1743-8586,1743-8594,2005,1,,,,,,
,FOREST PATHOLOGY,1437-4781,1439-0329,1997,27,,,,,,
,FORSCHUNG,0172-1518,1522-2357,2001,26,,,,,,
,FORTSCHRITTE DER PHYSIK/PROGRESS OF PHYSICS,0015-8208,1521-3978,1998,46,,,,,,
,FOSSIL RECORD-MITTEILUNGEN AUS DEM MUSEUM FUER  NATURKUNDE,1435-1943,1860-1014,2005,8,,,,,,
,FRESHWATER BIOLOGY,0046-5070,1365-2427,1997,37,,,,,,
,FUEL CELLS,1615-6846,1615-6854,2001,1,,,,,,
,FUNCTIONAL ECOLOGY,0269-8463,1365-2435,1997,11,,,,,,
,FUNDAMENTAL & CLINICAL PHARMACOLOGY,0767-3981,1472-8206,1997,11,,,,,,
,FUTURE PRESCRIBER,1468-9871,1931-2261,2006,7,,,,,,
,GAMM - MITTEILUNGEN,0936-7195,1522-2608,2007,30,,,,,,
,GCB BIOENERGY,1757-1693,1757-1707,2009,1,,,,,,
,GENDER & HISTORY,0953-5233,1468-0424,1997,9,,,,,,
,"GENDER, WORK & ORGANISATION",0968-6673,1468-0432,1997,4,,,,,,
,GENERAL ANTHROPOLOGY BULLETIN OF THE GENERAL ANTHROPOLOGY DIVISION,1537-1727,1939-3466,1997,3,,,,,,
,GENES TO CELLS,1356-9597,1365-2443,1997,2,,,,,,
,"GENES, BRAIN AND BEHAVIOR",1601-1848,1601-183X,2002,1,,,,,,
,"GENES, CHROMOSOMES AND CANCER",1045-2257,1098-2264,1997,,,,,,,
,GENESIS: THE JOURNAL OF GENETICS AND DEVELOPMENT,1526-954X,1526-968X,1997,,,,,,,
,GENETIC EPIDEMIOLOGY,0741-0395,1098-2272,1997,,,,,,,
,GEOARCHAEOLOGY: AN INTERNATIONAL JOURNAL,0883-6353,1520-6548,1997,,,,,,,
,GEOBIOLOGY (ELECTRONIC),1472-4677,1472-4669,2003,1,,,,,,
,GEOFLUIDS (ELECTRONIC),1468-8115,1468-8123,2001,1,,,,,,
,GEOGRAFISKA ANNALER SERIES A: PHYSICAL GEOGRAPHY,0435-3676,1468-0459,1997,79,,,,,,
,GEOGRAFISKA ANNALER SERIES B: HUMAN GEOGRAPHY,0435-3684,1468-0467,1997,79,,,,,,
,GEOGRAPHICAL ANALYSIS,0016-7363,1538-4632,2005,37,,,,,,
,GEOGRAPHICAL RESEARCH,1745-5863,1745-5871,1997,35,,,,,,
,GEOGRAPHICAL REVIEW,0016-7428,1931-0846,2010,98,,,,,,
,GEOLOGICAL JOURNAL,0072-1050,1099-1034,1997,,,,,,,
,GEOLOGY TODAY,0266-6979,1365-2451,1997,13,,,,,,
,GEOMECHANICS AND TUNNELLING,1865-7362,1865-7389,2008,1,,,,,,
,GEOPHYSICAL JOURNAL INTERNATIONAL,0956-540X,1365-246X,1997,128,,,,,,
,GEOPHYSICAL PROSPECTING,0016-8025,1365-2478,1997,45,,,,,,
,GEOSTANDARDS & GEOANALYTICAL RESEARCH,1639-4488,1751-908X,1997,21,,,,,,
,GEOTECHNIK,0172-6145,2190-6653,2011,1,,,,,,
,GERIATRICS & GERONTOLOGY INTERNATIONAL,1444-1586,1447-0594,2001,1,,,,,,
,GERMAN ECONOMIC REVIEW,1465-6485,1468-0475,2000,1,,,,,,
,GERMAN LIFE AND LETTERS,0016-8777,1468-0483,1997,50,,,,,,Y
,GERMAN RESEARCH,0172-1526,1522-2322,2001,23,,,,,,
,GERODONTOLOGY,0734-0664,1741-2358,1997,14,,,,,,
,GLIA,0894-1491,1098-1136,1997,,,,,,,
,GLOBAL BUSINESS AND ORGANIZATIONAL EXCELLENCE,1932-2054,1932-2062,2000,26,,,,,,
,GLOBAL CHANGE BIOLOGY,1354-1013,1365-2486,1997,3,,,,,,
,GLOBAL ECOLOGY,1466-822X,1466-8238,1998,7,,,,,,
,GLOBAL NETWORKS,1470-2266,1471-0374,2001,1,,,,,,
,GOVERNANCE,0952-1895,1468-0491,1997,10,,,,,,
,GOVERNMENT AND OPPOSITION,0017-257X,1477-7053,1997,32,,,,,,Y
,GRASS & FORAGE SCIENCE,0142-5242,1365-2494,1997,52,,,,,,
,GRASSLAND SCIENCE,1744-6961,1744-697X,2005,51,,,,,,
,GROUND WATER,0017-467X,1745-6584,1997,35,,,,,,
,GROUND WATER MONITORING & REMEDIATION,1069-3629,1745-6592,1997,17,,,,,,
,GROWTH AND CHANGE,0017-4815,1468-2257,1997,28,,,,,,
,HAEMOPHILIA,1351-8216,1365-2516,1997,3,,,,,,
,HEAD & NECK: JOURNAL FOR THE SCIENCES &  SPECIALTIES OF THE HEAD AND NECK,1043-3074,1097-0347,1997,,,,,,,
,HEADACHE,0017-8748,1526-4610,1997,37,,,,,,
,HEALTH & SOCIAL CARE IN THE COMMUNITY,0966-0410,1365-2524,1997,5,,,,,,Y
,HEALTH ECONOMICS,1057-9230,1099-1050,1997,,,,,,,
,HEALTH EXPECTATIONS,1369-6513,1369-7625,1998,1,,,,,,Y
,HEALTH INFORMATION & LIBRARIES JOURNAL,1471-1834,1471-1842,2000,17,,,,,,Y
,HEALTH SERVICES RESEARCH,0017-9124,1475-6773,2002,37,,,,,,Y
,HEAT TRANSFER - ASIAN RESEARCH,1099-2871,1523-1496,1999,28,,,,,,
,HELICOBACTER (ELECTRONIC),1083-4389,1523-5378,1997,2,,,,,,
,HELVETICA CHIMICA ACTA,0018-019X,1522-2675,1999,82,,,,,,
,HEMATOLOGICAL ONCOLOGY,0278-0232,1099-1069,1997,,,,,,,
,HEMODIALYSIS INTERNATIONAL,1492-7535,1542-4758,2003,7,,,,,,
,HEPATOLOGY,0270-9139,1527-3350,1997,,,,,,,
,HEPATOLOGY RESEARCH,1386-6346,1872-034X,2007,37,,,,,,
,HETEROATOM CHEMISTRY,1042-7163,1098-1071,1997,,,,,,,
,HIGHER EDUCATION ABSTRACTS,0748-4364,2150-1092,1997,33,,,,,,
,HIGHER EDUCATION QUARTERLY,0951-5224,1468-2273,1997,51,,,,,,Y
,HIPPOCAMPUS,1050-9631,1098-1063,1997,,,,,,,
,HISTOPATHOLOGY,0309-0167,1365-2559,1997,32,,,,,,
,HISTORICAL RESEARCH,0950-3471,1468-2281,1997,70,,,,,,
,HISTORY,0018-2648,1468-229X,1997,82,,,,,,Y
,HISTORY AND THEORY,0018-2656,1468-2303,1997,36,,,,,,
,HISTORY COMPASS (ELECTRONIC),-,1478-0542,2003,1,,,,,,
,HISTORY OF EDUCATION QUARTERLY,0018-2680,1748-5959,2001,41,,,,,,
,HIV MEDICINE,1464-2662,1468-1293,1999,1,,,,,,
,HPB,1365-182X,1477-2574,2001,3,,,,,,
,HUMAN BRAIN MAPPING,1065-9471,1097-0193,1997,,,,,,,
,HUMAN COMMUNICATION RESEARCH,0360-3989,1468-2958,1997,24,,,,,,
,HUMAN FACTORS AND ERGONOMICS IN MANUFACTURING & SERVICE INDUSTRIES,1090-8471,1520-6564,1997,,,,,,,
,HUMAN MUTATION,1059-7794,1098-1004,1997,,,,,,,
,HUMAN PSYCHOPHARMACOLOGY: CLINICAL AND  EXPERIMENTAL,0885-6222,1099-1077,1997,,,,,,,
,HUMAN RESOURCE DEVELOPMENT QUARTERLY,1044-8004,1532-1096,2000,11,,,,,,Y
,HUMAN RESOURCE MANAGEMENT,0090-4848,1099-050X,1997,,,,,,,Y
,HUMAN RESOURCE MANAGEMENT JOURNAL,0954-5395,1748-8583,1997,7,,,,,,Y
,HYDROLOGICAL PROCESSES,0885-6087,1099-1085,1997,,,,,,,
,HYPATIA,0887-5367,1527-2001,1997,12,,,,,,
,IBIS,0019-1019,1474-919X,1997,139,,,,,,
,IDS BULLETIN,0265-5012,1759-5436,1997,27,,,,,,
,IEEJ TRANSACTIONS ON ELECTRICAL AND ELECTRONIC  ENGINEERING,1931-4973,1931-4981,2006,1,,,,,,
,IMMUNOLOGICAL REVIEWS,0105-2896,1600-065X,1997,155,,,,,,
,IMMUNOLOGY,0019-2805,1365-2567,1997,90,,,,,,
,INDOOR AIR,0905-6947,1600-0668,1997,7,,,,,,
,INDUSTRIAL RELATIONS,0019-8676,1468-232X,1997,33,,,,,,
,INDUSTRIAL RELATIONS JOURNAL,0019-8692,1468-2338,1997,28,,,,,,Y
,INFANCY,1525-0008,1532-7078,2010,45,,,,,,
,INFANT AND CHILD DEVELOPMENT,1522-7227,1522-7219,1997,,,,,,,
,INFANT MENTAL HEALTH JOURNAL,0163-9641,1097-0355,1997,,,,,,,
,INFLUENZA AND OTHER RESPIRATORY VIRUSES,1750-2640,1750-2659,2007,1,,,,,,
,INFORMATION SYSTEMS JOURNAL,1350-1917,1365-2575,1997,7,,,,,,Y
,INSECT CONSERVATION AND DIVERSITY,1752-458X,1752-4598,2008,1,,,,,,
,INSECT MOLECULAR BIOLOGY,0962-1075,1365-2583,1997,6,,,,,,
,INSECT SCIENCE,1672-9609,1744-7917,1997,4,,,,,,
,INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT,1551-3777,1551-3793,2010,4,,,,,,
,INTEGRATIVE ZOOLOGY,1749-4877,1749-4877,2006,1,,,,,,
,"INTELLIGENT SYSTEMS IN ACCOUNTING, FINANCE & MANAGEMENT",1055-615X,1099-1174,1997,,,,,,,Y
,INTERNAL MEDICINE JOURNAL,1444-0903,1445-5994,1997,27,,,,,,
,INTERNATIONAL AFFAIRS,0020-5850,1468-2346,1998,74,,,,,,Y
,INTERNATIONAL DENTAL JOURNAL,0020-6539,1875-595X,1997,,,,,,,
,INTERNATIONAL ECONOMIC REVIEW,0020-6598,1468-2354,1999,40,,,,,,
,INTERNATIONAL ENDODONTIC JOURNAL,0143-2885,1365-2591,1997,30,,,,,,
,INTERNATIONAL FINANCE,1367-0271,1468-2362,1998,1,,,,,,
,INTERNATIONAL INSOLVENCY REVIEW,1180-0518,1099-1107,1999,8,,,,,,
,INTERNATIONAL JOURNAL FOR NUMERICAL AND ANALYTICAL METHODS IN GEOMECHANICS,0363-9061,1096-9853,1997,,,,,,,
,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN BIOMEDICAL ENGINEERING,2040-7939,2040-7947,1997,,,,,,,
,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,0029-5981,1097-0207,1997,,,,,,,
,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS,0271-2091,1097-0363,1997,,,,,,,
,INTERNATIONAL JOURNAL OF ADAPTIVE CONTROL AND SIGNAL PROCESSING,0890-6327,1099-1115,1997,,,,,,,
,INTERNATIONAL JOURNAL OF ANDROLOGY,0105-6263,1365-2605,1997,20,,,,,,
,INTERNATIONAL JOURNAL OF APPLIED CERAMIC TECHNOLOGY,1546-542X,1744-7402,2004,1,,,,,,
,INTERNATIONAL JOURNAL OF APPLIED GLASS SCIENCE,2041-1286,2041-1294,2010,1,,,,,,
,INTERNATIONAL JOURNAL OF APPLIED LINGUISTICS,0802-6106,1473-4192,1997,7,,,,,,
,INTERNATIONAL JOURNAL OF APPLIED PSYCHOANALYTIC  STUDIES (ELECTRONIC),1742-3341,1556-9187,2004,1,,,,,,
,INTERNATIONAL JOURNAL OF ART & DESIGN EDUCATION,1476-8062,1476-8070,1997,16,,,,,,
,INTERNATIONAL JOURNAL OF AUDITING,1090-6738,1099-1123,1997,1,,,,,,
